PWR: 1214.004 | HEx1: 5.459 | HEx2: 3.277 | HEx3: 3.109 | C1: 0.570 | C2: 2.320 | C3: 1.679 | C4: 0.006 | C6: 0.488 | C7: 2.483 | T1: -16.700 | T2: -64.991 | P1: 412.461 | P2: 2292.796 
PWR: 1214.086 | HEx1: 5.486 | HEx2: 3.252 | HEx3: 3.094 | C1: 0.570 | C2: 2.320 | C3: 1.682 | C4: 0.002 | C6: 0.488 | C7: 2.483 | T1: -16.739 | T2: -65.043 | P1: 412.644 | P2: 2293.055 
PWR: 1215.154 | HEx1: 5.525 | HEx2: 3.303 | HEx3: 3.095 | C1: 0.570 | C2: 2.325 | C3: 1.681 | C4: 0.003 | C6: 0.487 | C7: 2.483 | T1: -16.766 | T2: -65.033 | P1: 412.570 | P2: 2293.618 
PWR: 1215.352 | HEx1: 5.550 | HEx2: 3.285 | HEx3: 3.082 | C1: 0.570 | C2: 2.325 | C3: 1.684 | C4: 0.005 | C6: 0.486 | C7: 2.483 | T1: -16.671 | T2: -65.112 | P1: 412.671 | P2: 2294.815 
PWR: 1215.618 | HEx1: 5.588 | HEx2: 3.326 | HEx3: 3.024 | C1: 0.570 | C2: 2.329 | C3: 1.684 | C4: 0.001 | C6: 0.484 | C7: 2.483 | T1: -16.708 | T2: -65.102 | P1: 412.702 | P2: 2294.665 
PWR: 1215.414 | HEx1: 5.582 | HEx2: 3.322 | HEx3: 3.018 | C1: 0.570 | C2: 2.328 | C3: 1.684 | C4: 0.001 | C6: 0.483 | C7: 2.483 | T1: -16.673 | T2: -65.105 | P1: 412.713 | P2: 2294.660 
PWR: 1212.119 | HEx1: 5.255 | HEx2: 3.307 | HEx3: 3.121 | C1: 0.570 | C2: 2.313 | C3: 1.663 | C4: 0.002 | C6: 0.492 | C7: 2.483 | T1: -16.918 | T2: -64.624 | P1: 412.027 | P2: 2286.882 
PWR: 1214.948 | HEx1: 5.557 | HEx2: 3.296 | HEx3: 3.048 | C1: 0.570 | C2: 2.325 | C3: 1.683 | C4: 0.003 | C6: 0.484 | C7: 2.483 | T1: -16.713 | T2: -65.100 | P1: 412.661 | P2: 2294.619 
PWR: 1215.433 | HEx1: 5.583 | HEx2: 3.320 | HEx3: 3.022 | C1: 0.570 | C2: 2.328 | C3: 1.684 | C4: 0.001 | C6: 0.484 | C7: 2.483 | T1: -16.710 | T2: -65.106 | P1: 412.717 | P2: 2294.665 
PWR: 1215.128 | HEx1: 5.554 | HEx2: 3.296 | HEx3: 3.058 | C1: 0.570 | C2: 2.325 | C3: 1.683 | C4: 0.003 | C6: 0.485 | C7: 2.483 | T1: -16.712 | T2: -65.095 | P1: 412.634 | P2: 2294.433 
PWR: 1215.059 | HEx1: 5.553 | HEx2: 3.303 | HEx3: 3.052 | C1: 0.570 | C2: 2.325 | C3: 1.683 | C4: 0.001 | C6: 0.485 | C7: 2.483 | T1: -16.717 | T2: -65.073 | P1: 412.684 | P2: 2294.612 
PWR: 1215.416 | HEx1: 5.568 | HEx2: 3.315 | HEx3: 3.041 | C1: 0.570 | C2: 2.328 | C3: 1.683 | C4: 0.001 | C6: 0.484 | C7: 2.483 | T1: -16.717 | T2: -65.085 | P1: 412.684 | P2: 2294.094 
PWR: 1214.959 | HEx1: 5.545 | HEx2: 3.297 | HEx3: 3.056 | C1: 0.570 | C2: 2.325 | C3: 1.683 | C4: 0.002 | C6: 0.485 | C7: 2.483 | T1: -16.717 | T2: -65.084 | P1: 412.685 | P2: 2294.058 
PWR: 1214.221 | HEx1: 5.480 | HEx2: 3.287 | HEx3: 3.098 | C1: 0.570 | C2: 2.321 | C3: 1.679 | C4: 0.005 | C6: 0.487 | C7: 2.483 | T1: -16.732 | T2: -65.001 | P1: 412.517 | P2: 2292.891 
PWR: 1215.562 | HEx1: 5.588 | HEx2: 3.295 | HEx3: 3.042 | C1: 0.570 | C2: 2.327 | C3: 1.685 | C4: 0.005 | C6: 0.484 | C7: 2.483 | T1: -16.690 | T2: -65.159 | P1: 412.714 | P2: 2295.961 
PWR: 1215.807 | HEx1: 5.588 | HEx2: 3.329 | HEx3: 3.025 | C1: 0.570 | C2: 2.329 | C3: 1.684 | C4: 0.001 | C6: 0.484 | C7: 2.483 | T1: -16.722 | T2: -65.100 | P1: 412.691 | P2: 2294.650 
PWR: 1215.807 | HEx1: 5.588 | HEx2: 3.329 | HEx3: 3.025 | C1: 0.570 | C2: 2.329 | C3: 1.684 | C4: 0.001 | C6: 0.484 | C7: 2.483 | T1: -16.722 | T2: -65.100 | P1: 412.691 | P2: 2294.650 
